#{"t_start": 1626984388.574869, "env_id": null}
r,l,t
-39.595577,99,400.929593
-36.43615,99,401.448904
-23.365948,94,401.865666
-24.600948,99,402.284613
-24.601261,99,402.701911
-24.61423,99,403.123618
-24.61423,99,403.541712
-39.927856,99,404.076709
-44.98154,99,404.462712
-38.16813,99,404.853366
-41.422337,99,405.378412
-40.126865,99,405.774575
-23.35057,94,406.191297
-24.603802,99,406.608214
-24.59775,99,407.025333
-24.588284,99,407.442753
-24.585598,99,407.859405
-36.719105,99,408.387545
-38.751034,99,408.784456
-35.35887,99,409.319346
-38.249664,99,409.73531
-41.025497,99,410.156345
-23.365946,94,410.569058
-24.60928,99,410.98711
-24.583334,99,411.408072
-24.556746,99,411.825816
-24.61423,99,412.243932
-36.541447,99,412.775295
-41.189636,99,413.291635
-36.511482,99,413.691852
-39.705025,99,414.089231
-37.887096,99,414.489815
-23.359365,94,415.047188
-24.61423,99,415.465744
-24.59775,99,415.884549
-24.600948,99,416.30237
-24.600443,99,416.722631
-38.444363,99,417.17676
-40.667393,99,417.576176
-39.889072,99,417.98618
-37.03547,99,418.378877
-40.64742,99,418.836035
-23.34495,94,419.254715
-24.61423,99,419.672898
-24.576792,99,420.08907
-24.610384,99,420.5084
-24.575314,99,420.926017
-38.824574,99,421.352983
-39.764877,99,421.748867
-39.179134,99,422.15058
-35.34389,99,422.577669
-37.41333,99,422.981515
-23.370895,94,423.399565
-24.61423,99,423.816216
-24.61423,99,424.234405
-24.59164,99,424.64827
-24.61423,99,425.070077
-38.263947,99,425.484107
-37.06996,99,425.88067
-34.14729,99,426.449269
-36.0475,99,426.848653
-44.34342,99,427.246916
-23.364313,94,427.668617
-24.61423,99,428.078568
-24.598852,99,428.496152
-24.588284,99,428.915509
-24.600443,99,429.333099
-35.658115,99,429.859848
-38.515686,99,430.403747
-46.288834,99,430.793746
-39.44382,99,431.190965
-39.60893,99,431.591937
-23.318361,94,432.166292
-24.610846,99,432.586909
-24.604332,99,432.998995
-24.61423,99,433.408775
-24.556746,99,433.824657
-34.304768,99,435.022072
-29.655834,99,435.570072
-33.44158,99,436.134069
-38.826225,99,436.691073
-38.122414,99,437.28507
-28.023542,94,437.733834
-46.02378,99,438.14325
-46.89941,99,438.563247
-43.393642,99,438.97924
-55.56776,99,439.397629
-39.56286,99,440.125455
-37.065174,99,440.708456
-39.862545,99,441.255455
-39.69203,99,441.844453
-41.054695,99,442.402453
-48.73988,94,442.840454
-46.426476,99,443.254711
-42.99092,99,443.674712
-44.625248,99,444.089748
-27.26405,99,444.51533
-35.006634,99,445.216261
-35.194515,99,445.804262
-39.83683,99,446.474261
-36.96019,99,447.026258
-41.54584,99,447.585262
